date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:13:05	97/97	---M-Z	200	added ('OK')	text/plain	etag:%2271b0d075a1714cd9d06f385db3c22ea2%22	https://managewise.framer.website/robots.txt		(from )
10:13:05	458956/458956	---M-Z	200	added ('OK')	text/html	etag:%22d1519b787e6e464a6990c67b4ce80f73%22	https://managewise.framer.website/	C:/My%20Web%20Sites/Khush_Assginment/managewise.framer.website/index.html	(from )
10:13:06	91/91	---M--	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2001%20Dec%202023%2007:32:04%20GMT	https://framerusercontent.com/modules/ypKLQ74SzruqNzB714fi/ExMoKi94PjFBKEG4UGCL/assets/H57U8acxeghRgv1iXiICEMRmffw.png	C:/My%20Web%20Sites/Khush_Assginment/framerusercontent.com/modules/ypKLQ74SzruqNzB714fi/ExMoKi94PjFBKEG4UGCL/assets/H57U8acxeghRgv1iXiICEMRmffw.0.delayed	(from https://managewise.framer.website/)
10:13:06	931/931	---MC-	200	added ('OK')	image/png	date:Fri,%2001%20Dec%202023%2008:58:33%20GMT	https://framerusercontent.com/images/H57U8acxeghRgv1iXiICEMRmffw.png	C:/My%20Web%20Sites/Khush_Assginment/framerusercontent.com/images/H57U8acxeghRgv1iXiICEMRmffw.png	(from https://managewise.framer.website/)
10:13:06	170746/170746	---MC-	200	added ('OK')	image/jpeg	date:Fri,%2001%20Dec%202023%2008:58:34%20GMT	https://framerusercontent.com/images/rQLEj5WmZLbyXdI9sBPwCnmMNA.jpg	C:/My%20Web%20Sites/Khush_Assginment/framerusercontent.com/images/rQLEj5WmZLbyXdI9sBPwCnmMNA.jpg	(from https://managewise.framer.website/)
10:13:07	5207/5207	---MC-	200	added ('OK')	image/png	date:Fri,%2001%20Dec%202023%2008:58:34%20GMT	https://framerusercontent.com/images/tgELERqZ0nObn14bTi418qTbg.png?scale-down-to=512	C:/My%20Web%20Sites/Khush_Assginment/framerusercontent.com/images/tgELERqZ0nObn14bTi418qTbg17f5.png	(from https://managewise.framer.website/)
10:13:07	1861/1861	---MC-	200	added ('OK')	image/png	date:Fri,%2001%20Dec%202023%2008:58:35%20GMT	https://framerusercontent.com/images/MwRbsJrk7ItYxeL7mKvPzrq3g.png	C:/My%20Web%20Sites/Khush_Assginment/framerusercontent.com/images/MwRbsJrk7ItYxeL7mKvPzrq3g.png	(from https://managewise.framer.website/)
10:13:07	42994/42994	---MC-	200	added ('OK')	image/png	date:Fri,%2001%20Dec%202023%2008:58:36%20GMT	https://framerusercontent.com/images/qJeaFhSmQ29M1S55GRW5kYb4.png	C:/My%20Web%20Sites/Khush_Assginment/framerusercontent.com/images/qJeaFhSmQ29M1S55GRW5kYb4.png	(from https://managewise.framer.website/)
10:13:07	35011/35011	---MC-	200	added ('OK')	image/png	date:Fri,%2001%20Dec%202023%2008:58:37%20GMT	https://framerusercontent.com/images/LFrHT3kBfxtMGAZfWkyLvYAKsbg.png	C:/My%20Web%20Sites/Khush_Assginment/framerusercontent.com/images/LFrHT3kBfxtMGAZfWkyLvYAKsbg.png	(from https://managewise.framer.website/)
10:13:07	698277/698277	---MC-	200	added ('OK')	image/jpeg	date:Fri,%2001%20Dec%202023%2008:58:36%20GMT	https://framerusercontent.com/images/t9qCSNfZSNdBCMSiohCGNEIl4.jpg	C:/My%20Web%20Sites/Khush_Assginment/framerusercontent.com/images/t9qCSNfZSNdBCMSiohCGNEIl4.jpg	(from https://managewise.framer.website/)
10:13:08	48125/48125	---MC-	200	added ('OK')	image/png	date:Fri,%2001%20Dec%202023%2008:58:38%20GMT	https://framerusercontent.com/images/p65qwfjd0cd0ZHZoNFpsh7XU.png	C:/My%20Web%20Sites/Khush_Assginment/framerusercontent.com/images/p65qwfjd0cd0ZHZoNFpsh7XU.png	(from https://managewise.framer.website/)
10:13:08	23666/23666	---MC-	200	added ('OK')	image/png	date:Fri,%2001%20Dec%202023%2008:58:38%20GMT	https://framerusercontent.com/images/FaY6aekE67ytWg6HDfDpy2FaHY.png	C:/My%20Web%20Sites/Khush_Assginment/framerusercontent.com/images/FaY6aekE67ytWg6HDfDpy2FaHY.png	(from https://managewise.framer.website/)
10:13:08	11813/11813	---MC-	200	added ('OK')	image/png	date:Fri,%2001%20Dec%202023%2008:58:39%20GMT	https://framerusercontent.com/images/sQd7MkwgkdQRRQ1a99k5Z1zLfA.png?scale-down-to=1024	C:/My%20Web%20Sites/Khush_Assginment/framerusercontent.com/images/sQd7MkwgkdQRRQ1a99k5Z1zLfAbf23.png	(from https://managewise.framer.website/)
10:13:08	4923/4923	---MC-	200	added ('OK')	image/jpeg	date:Fri,%2001%20Dec%202023%2008:58:40%20GMT	https://framerusercontent.com/images/OOtXrjMtLK5Xx3QTQXHynwpqYi4.jpg	C:/My%20Web%20Sites/Khush_Assginment/framerusercontent.com/images/OOtXrjMtLK5Xx3QTQXHynwpqYi4.jpg	(from https://managewise.framer.website/)
10:13:09	5119/5119	---MC-	200	added ('OK')	image/jpeg	date:Fri,%2001%20Dec%202023%2008:58:40%20GMT	https://framerusercontent.com/images/mIAsKrgLvd7WbLFFsh6f6YobhSc.jpg	C:/My%20Web%20Sites/Khush_Assginment/framerusercontent.com/images/mIAsKrgLvd7WbLFFsh6f6YobhSc.jpg	(from https://managewise.framer.website/)
10:13:09	3814/3814	---MC-	200	added ('OK')	image/jpeg	date:Fri,%2001%20Dec%202023%2008:58:41%20GMT	https://framerusercontent.com/images/PIlOZWlmobm4uLtBhKFfw7HS4.jpg	C:/My%20Web%20Sites/Khush_Assginment/framerusercontent.com/images/PIlOZWlmobm4uLtBhKFfw7HS4.jpg	(from https://managewise.framer.website/)
10:13:09	5211/5211	---MC-	200	added ('OK')	image/jpeg	date:Fri,%2001%20Dec%202023%2008:58:41%20GMT	https://framerusercontent.com/images/dgHsIQVrsxRxtadpghDWppPujE.jpg	C:/My%20Web%20Sites/Khush_Assginment/framerusercontent.com/images/dgHsIQVrsxRxtadpghDWppPujE.jpg	(from https://managewise.framer.website/)
10:13:09	11477/11477	---MC-	200	added ('OK')	image/png	date:Fri,%2001%20Dec%202023%2008:58:41%20GMT	https://framerusercontent.com/images/584hzJDnWCS5SFABKjaCzgDspY.png?scale-down-to=512	C:/My%20Web%20Sites/Khush_Assginment/framerusercontent.com/images/584hzJDnWCS5SFABKjaCzgDspY17f5.png	(from https://managewise.framer.website/)
10:13:10	75054/75054	---MC-	200	added ('OK')	image/png	date:Fri,%2001%20Dec%202023%2008:58:42%20GMT	https://framerusercontent.com/images/S4kVG1FFzSqxr8zOqpvJRfsBad0.png?scale-down-to=1024	C:/My%20Web%20Sites/Khush_Assginment/framerusercontent.com/images/S4kVG1FFzSqxr8zOqpvJRfsBad0bf23.png	(from https://managewise.framer.website/)
